task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
52	fd/43759f	9607	NFCORE_FUNCSCAN:FUNCSCAN:ARG:AMRFINDERPLUS_RUN (CONTROL_REP1)	COMPLETED	0	2025-12-19 11:20:34.965	5m 8s	5m 7s	83.0%	163 MB	221.4 MB	295.7 MB	476.4 MB
75	83/36f796	11363	NFCORE_FUNCSCAN:FUNCSCAN:ARG:DEEPARG_PREDICT (CONTROL_REP3)	COMPLETED	0	2025-12-19 11:25:42.566	39.6s	38s	83.3%	913.6 MB	2.2 GB	156.5 MB	6.8 MB
69	9b/2bf094	10388	NFCORE_FUNCSCAN:FUNCSCAN:ARG:AMRFINDERPLUS_RUN (CONTROL_REP3)	COMPLETED	0	2025-12-19 11:21:48.676	5m 6s	5m 5s	83.2%	163.2 MB	221.4 MB	295.7 MB	476.4 MB
38	e0/e5043d	9174	NFCORE_FUNCSCAN:FUNCSCAN:ARG:AMRFINDERPLUS_RUN (CONTROL_REP2)	COMPLETED	0	2025-12-19 11:20:01.523	7m 19s	7m 18s	83.4%	164.3 MB	222.9 MB	298.8 MB	477.6 MB
40	02/53a8ca	10098	NFCORE_FUNCSCAN:FUNCSCAN:AMP:AMPLIFY_PREDICT (CONTROL_REP2)	COMPLETED	0	2025-12-19 11:21:23.556	24m 31s	22m 38s	94.3%	958.9 MB	3.2 GB	192 MB	4 MB
86	49/c6d12f	11736	NFCORE_FUNCSCAN:FUNCSCAN:BGC:DEEPBGC_PIPELINE (CONTROL_REP3)	COMPLETED	0	2025-12-19 11:26:22.636	29m 31s	29m 27s	87.4%	685.9 MB	2.3 GB	1.3 TB	61 MB
99	0e/8168dd	18398	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_AMRFINDERPLUS (CONTROL_REP1)	COMPLETED	0	2025-12-19 11:55:54.106	33.1s	2s	74.9%	94.1 MB	705.7 MB	40.2 MB	414 B
102	1f/2b419f	18765	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_AMRFINDERPLUS (CONTROL_REP3)	COMPLETED	0	2025-12-19 11:56:27.300	6.8s	6s	72.1%	82.8 MB	681.4 MB	40.2 MB	402 B
90	0a/7baf7e	12411	NFCORE_FUNCSCAN:FUNCSCAN:BGC:DEEPBGC_PIPELINE (CONTROL_REP1)	COMPLETED	0	2025-12-19 11:27:20.948	29m 19s	29m 15s	87.6%	683.1 MB	2.3 GB	1.3 TB	60.2 MB
103	2d/c44714	18964	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_AMRFINDERPLUS (CONTROL_REP2)	COMPLETED	0	2025-12-19 11:56:34.214	7s	5s	70.3%	85.9 MB	694.4 MB	40.2 MB	402 B
56	49/5de6bb	16221	NFCORE_FUNCSCAN:FUNCSCAN:AMP:AMPLIFY_PREDICT (CONTROL_REP1)	COMPLETED	0	2025-12-19 11:45:54.535	12m 19s	12m 18s	111.5%	942.1 MB	3.4 GB	191.6 MB	3.3 MB
89	7b/8e35ae	12088	NFCORE_FUNCSCAN:FUNCSCAN:BGC:DEEPBGC_PIPELINE (CONTROL_REP2)	COMPLETED	0	2025-12-19 11:26:54.591	34m 30s	34m 26s	93.0%	708.7 MB	2.3 GB	1.6 TB	72.8 MB
71	8a/c9e31a	20344	NFCORE_FUNCSCAN:FUNCSCAN:AMP:AMPIR (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:01:24.890	14s	12s	103.0%	422.1 MB	915.7 MB	32 MB	3.7 MB
95	30/ac936f	20555	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_DEEPARG (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:01:38.903	5.1s	4s	92.1%	86.7 MB	696.8 MB	40.2 MB	7.6 KB
96	23/7b67d7	20666	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_DEEPARG (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:01:44.039	5s	4s	98.6%	85.7 MB	694.8 MB	40.2 MB	15 KB
98	d5/16e271	20783	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_DEEPARG (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:01:49.058	4.9s	4s	94.0%	86.2 MB	694.3 MB	40.2 MB	6.7 KB
97	4e/30011a	20893	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_DEEPARG (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:01:54.027	3.7s	3s	93.8%	93.8 MB	705.8 MB	40.2 MB	14.7 KB
101	dc/59fa21	21035	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_DEEPARG (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:01:57.723	6.5s	5s	89.0%	94 MB	705.8 MB	40.2 MB	6.7 KB
100	31/e23a68	21173	NFCORE_FUNCSCAN:FUNCSCAN:ARG:HAMRONIZATION_DEEPARG (CONTROL_REP3)	COMPLETED	0	2025-12-19 12:02:04.245	6.2s	6s	91.8%	92.8 MB	701.7 MB	40.2 MB	14.9 KB
107	7a/058248	21295	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ARGNORM_DEEPARG (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:02:10.513	59.6s	3s	85.5%	143.4 MB	1.3 GB	28.2 MB	8.9 KB
108	bf/8bb0be	21321	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ARGNORM_DEEPARG (CONTROL_REP2)	COMPLETED	0	2025-12-19 12:02:10.576	59.8s	3s	83.0%	143.5 MB	1.3 GB	28.2 MB	18.3 KB
109	8f/aaaa2d	21652	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ARGNORM_DEEPARG (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:03:10.199	4.8s	4s	87.9%	142.6 MB	1.3 GB	28.2 MB	7.8 KB
110	b3/9d336c	21695	NFCORE_FUNCSCAN:FUNCSCAN:ARG:ARGNORM_DEEPARG (CONTROL_REP1)	COMPLETED	0	2025-12-19 12:03:10.438	4.9s	3s	86.3%	143.8 MB	1.4 GB	28.2 MB	18.3 KB
